signal_date,factor,pearson_ic,spearman_rank_ic,n
2026-03-31,cmm_signal_cs_z,-0.035174145726968406,0.037202101630140684,4926
2026-04-30,cmm_signal_cs_z,-0.00243935758212272,-0.022399122273630268,4852
2019-01-31,same_window_mom_cs_z,-0.25724820980580343,-0.3533530310019456,3378
2019-02-28,same_window_mom_cs_z,0.02190873442389706,0.021473986580775435,3385
2019-03-29,same_window_mom_cs_z,0.0639818952676727,0.08718560324967918,3376
2019-04-30,same_window_mom_cs_z,0.042910205757100826,0.048508450561958384,3352
2019-05-31,same_window_mom_cs_z,0.006305520252096668,0.052735536484905095,3360
2019-06-28,same_window_mom_cs_z,0.021674274411456574,0.013372598984912974,3369
2019-07-31,same_window_mom_cs_z,0.05770414072493657,0.03483598349959582,3379
2019-08-30,same_window_mom_cs_z,-0.0012294767256626818,-0.011122886657984318,3382
2019-09-30,same_window_mom_cs_z,0.05379103124412883,0.04844065578938102,3394
2019-10-31,same_window_mom_cs_z,-0.02495947199572153,-0.06520682141689613,3395
2019-11-29,same_window_mom_cs_z,-0.005764383028236428,0.037668326201778506,3404
2019-12-31,same_window_mom_cs_z,0.15857683817469656,0.19095289803465737,3408
2020-01-23,same_window_mom_cs_z,0.09484124741751225,0.1153283091173121,3420
2020-02-28,same_window_mom_cs_z,-0.14041668083824715,-0.2103344302038751,3431
2020-03-31,same_window_mom_cs_z,0.3064379836264388,0.3179974926941728,3436
2020-04-30,same_window_mom_cs_z,0.06973356486540361,0.03301682361661233,3383
2020-05-29,same_window_mom_cs_z,0.20564883993143812,0.24159025066706524,3390
2020-06-30,same_window_mom_cs_z,-0.00396212451671539,-0.045544990488956084,3388
2020-07-31,same_window_mom_cs_z,-0.14071503803382454,-0.1426853343149624,3428
2020-08-31,same_window_mom_cs_z,-0.06860347256029495,-0.12129458018142313,3438
2020-09-30,same_window_mom_cs_z,0.008182595628300787,-0.008624606119559024,3442
2020-10-30,same_window_mom_cs_z,-0.20594793269595915,-0.2354116786310913,3464
2020-11-30,same_window_mom_cs_z,0.22290011062375226,0.1674607498776762,3496
2020-12-31,same_window_mom_cs_z,0.18653777923879314,0.1375167531114369,3521
2021-01-29,same_window_mom_cs_z,-0.24753093306164473,-0.2338049734516704,3539
2021-02-26,same_window_mom_cs_z,-0.06926708931490658,-0.0632723497315939,3557
2021-03-31,same_window_mom_cs_z,0.11804125901170219,0.13400601918212854,3575
2021-04-30,same_window_mom_cs_z,-0.03747242577890505,-0.09096317440945643,3561
2021-05-31,same_window_mom_cs_z,0.04405649514731631,-0.007042318594457408,3614
2021-06-30,same_window_mom_cs_z,0.12909043683702845,0.10868633133139186,3648
2021-07-30,same_window_mom_cs_z,0.043403405006834074,0.04199899189764643,3698
2021-08-31,same_window_mom_cs_z,-0.14165707799596514,-0.18245328048970316,3764
2021-09-30,same_window_mom_cs_z,0.20298176097850026,0.14574778809828554,3822
2021-10-29,same_window_mom_cs_z,-0.10586162806064545,-0.1219318666215281,3852
2021-11-30,same_window_mom_cs_z,-0.28245039799107907,-0.29164995382836445,3873
2021-12-31,same_window_mom_cs_z,-0.10955631007414512,-0.13323152467734933,3931
2022-01-28,same_window_mom_cs_z,0.1382366265551783,0.17125673199653071,3960
2022-02-28,same_window_mom_cs_z,-0.015601310529520157,-0.04843815236004012,3992
2022-03-31,same_window_mom_cs_z,-0.08502793560292354,-0.10745496720283938,4031
2022-04-29,same_window_mom_cs_z,0.09068365530923149,0.1360480745157721,4069
2022-05-31,same_window_mom_cs_z,-0.02725243949499124,-0.08084878142041031,4120
2022-06-30,same_window_mom_cs_z,0.0713795486440561,0.06650069589386107,4173
2022-07-29,same_window_mom_cs_z,-0.029303805420622754,-0.036281119716124306,4215
2022-08-31,same_window_mom_cs_z,0.07332608104667278,0.08910668089866527,4264
2022-09-30,same_window_mom_cs_z,-0.08621694279267304,-0.07180981812214152,4304
2022-10-31,same_window_mom_cs_z,-0.002302407446750114,-0.006257022979794546,4335
2022-11-30,same_window_mom_cs_z,-0.014045283332564548,-0.033239029066661104,4378
2022-12-30,same_window_mom_cs_z,-0.19753072723192375,-0.24703759624979738,4418
2023-01-31,same_window_mom_cs_z,-0.12303013355125468,-0.12290955191577817,4444
2023-02-28,same_window_mom_cs_z,-0.1668453938402222,-0.19077473104934284,4467
2023-03-31,same_window_mom_cs_z,0.056197825088118034,0.04906344874339166,4504
2023-04-28,same_window_mom_cs_z,0.20035571572308714,0.2055275438099368,4508
2023-05-31,same_window_mom_cs_z,-0.03014718700999461,-0.03357664702817069,4511
2023-06-30,same_window_mom_cs_z,-0.35640242028792174,-0.3952547949831699,4552
2023-07-31,same_window_mom_cs_z,0.20213072887984931,0.19613198183395744,4574
2023-08-31,same_window_mom_cs_z,-0.05556803699608701,-0.1008382247652607,4621
2023-09-28,same_window_mom_cs_z,-0.12046072925766078,-0.13406523057160874,4657
2023-10-31,same_window_mom_cs_z,0.16374770904285818,0.16122119632296883,4688
2023-11-30,same_window_mom_cs_z,-0.03329876821996404,0.010638172666475751,4715
2023-12-29,same_window_mom_cs_z,-0.02025818493228801,-0.07016842580532495,4737
2024-01-31,same_window_mom_cs_z,0.10024158930958636,0.030342908704632403,4747
2024-02-29,same_window_mom_cs_z,0.1193275009137678,0.16311711986144792,4762
2024-03-29,same_window_mom_cs_z,0.07188057386183562,0.1202621405103832,4785
2024-04-30,same_window_mom_cs_z,0.029230769176867885,0.045642629077680935,4746
2024-05-31,same_window_mom_cs_z,0.19044754055385119,0.2697021594352878,4768
2024-06-28,same_window_mom_cs_z,-0.1483904945201438,-0.16566652153881364,4818
2024-07-31,same_window_mom_cs_z,-0.020476722608909606,-0.016494346317453498,4850
2024-08-30,same_window_mom_cs_z,-0.27128617731021437,-0.32781072736130423,4874
2024-09-30,same_window_mom_cs_z,0.04664637797297658,0.07845381410547918,4883
2024-10-31,same_window_mom_cs_z,-0.16366577520251085,-0.25820914057551897,4886
2024-11-29,same_window_mom_cs_z,0.10240985386731268,0.1771679227475664,4899
2024-12-31,same_window_mom_cs_z,-0.017009146913032465,-0.0464461837922339,4906
2025-01-27,same_window_mom_cs_z,-0.06619035479700995,-0.11673841088303558,4913
2025-02-28,same_window_mom_cs_z,-0.1082026556236584,-0.14234243319119455,4919
2025-03-31,same_window_mom_cs_z,0.09534681868822474,0.0845887835054995,4914
2025-04-30,same_window_mom_cs_z,-0.15321266189832672,-0.197278310467999,4842
2025-05-30,same_window_mom_cs_z,0.05437981206839493,0.06995345016594283,4855
2025-06-30,same_window_mom_cs_z,-0.05630826365299138,-0.13222009451339,4883
2025-07-31,same_window_mom_cs_z,0.16176024143764448,0.14176656485879055,4880
2025-08-29,same_window_mom_cs_z,-0.054932715110076136,-0.11460473977848455,4886
2025-09-30,same_window_mom_cs_z,-0.15797430844186755,-0.22751591799728285,4888
2025-10-31,same_window_mom_cs_z,-0.08444161574264598,-0.19106738137779128,4895
2025-11-28,same_window_mom_cs_z,0.16863358693100244,0.23931629495469403,4893
2025-12-31,same_window_mom_cs_z,-0.006148648734191889,-0.03228011845953199,4906
2026-01-30,same_window_mom_cs_z,0.15509733121408173,0.14663376869858527,4915
2026-02-27,same_window_mom_cs_z,-0.05601897098436058,-0.1392079500660384,4918
2026-03-31,same_window_mom_cs_z,0.24429808850491821,0.2113297375173026,4926
2026-04-30,same_window_mom_cs_z,0.062302533684914625,-0.04910993289064423,4852
